Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french
STR_HP_ANVIL0,"Anvil","Anvil","Kovadlina","Amboss","Ковадло","Kowadło","Üllő","Incudine","Yunque","Enclume"
STR_HP_ANVIL1,"An old anvil, a little rusty, but suitable for work","An old anvil, a little rusty, but suitable for work","Stará kovadlina, trochu rezavá, ale vhodná na práci","Ein alter Amboss, etwas rostig, aber arbeitstauglich","Старе ковадло , трохи іржаве але для роботи підійде","Stare kowadło, trochę zardzewiałe, ale nadające się do pracy","Régi üllő, kicsit rozsdás, de munkára alkalmas","Una vecchia incudine, un po' arrugginita, ma adatta al lavoro","Un yunque viejo, un poco oxidado, pero apto para trabajar.","Une vieille enclume, un peu rouillée, mais adaptée au travail"
STR_HP_CRAFTER_KIT0,"Workbench Kit","Workbench Kit","Sada pracovního stolu","Werkbank-Kit","Комплект верстака","Zestaw stołu warsztatowego","Munkaasztal készlet","Kit banco da lavoro","Kit de banco de trabajo","Kit d'établi"
STR_HP_CRAFTER_KIT1,"Need to unpack, but I'd rather do it at home","Need to unpack, but I'd rather do it at home","Potřebuji vybalit, ale raději to udělám doma","Muss zwar auspacken, mache das aber lieber zu Hause","Потрібно розпакувати, але краще я зроблю це вдома","Muszę się rozpakować, ale wolę to zrobić w domu","Ki kell csomagolni, de inkább otthon csinálom","Devo disfare le valigie, ma preferirei farlo a casa","Necesito desempacar, pero prefiero hacerlo en casa.","Je dois déballer, mais je préfère le faire à la maison"
STR_HP_TABLE0,"Workbench","Workbench","pracovní stůl","Werkbank","Робочий стіл","stoł warsztatowy","munkapad","banco di lavoro","Banco de trabajo","Table de travail"
STR_HP_TABLE1,"A table where you can do everything (almost)","A table where you can do everything (almost)","Stůl, kde můžete dělat všechno (téměř)","Ein Tisch, an dem man (fast) alles machen kann","Стіл на якому можливо зробити все (майже)","Stół, przy którym można zrobić wszystko (prawie)","Egy asztal, ahol mindent megtehet (majdnem)","Un tavolo dove puoi fare tutto (quasi)","Una mesa donde puedes hacer de todo (casi)","Une table où l'on peut tout faire (presque)"
STR_HP_DRILL0,"Drill","Drill","Vrtat","Bohren","Дриль","Wiertarka","Fúró","Trapano","Perforar","Percer"
STR_HP_DRILL1,"A good machine, they say that half of the economy of the USSR was based on such machines.","A good machine, they say that half of the economy of the USSR was based on such machines.","Dobrý stroj, říká se, že na takových strojích byla založena polovina ekonomiky SSSR.","Eine gute Maschine, man sagt, dass die Hälfte der Wirtschaft der UdSSR auf solchen Maschinen basierte.","Хороший верстат ,кажуть що саме на таких трималася половина економіки СССР.","Dobra maszyna, mówią, że na takich maszynach opierała się połowa gospodarki ZSRR","Jó gép, azt mondják, hogy a Szovjetunió gazdaságának fele ilyen gépekre épült.","Una buona macchina, dicono, metà dell'economia dell'URSS era basata su tali macchine.","Una buena máquina, dicen que la mitad de la economía de la URSS se basaba en este tipo de máquinas.","Une bonne machine, on dit que la moitié de l’économie de l’URSS reposait sur de telles machines."
STR_HP_GRINDE0,"Grinding machine","Grinding machine","Bruska","Schleifmaschine","Шліфувальний станок","Maszyna do mielenia","Daráló gép","Rettificatrice","Máquina de molienda","Rectifieuse"
STR_HP_GRINDE1,"Good for working with wood and metal.","Good for working with wood and metal.","Dobré pro práci se dřevem a kovem.","Gut für die Bearbeitung von Holz und Metall","Добре підходить для роботи з деревом та металом.","Nadaje się do pracy w drewnie i metalu.","Kiválóan alkalmas fa és fém megmunkálására.","Buono per lavorare con legno e metallo.","Bueno para trabajar con madera y metal.","Idéal pour travailler le bois et le métal."
